,host,method,t_number,resolution,subunits,NSC,sasa,radius_inner,radius_ave,radius_outer,diameter_inner,diametr_ave,diameter_outer,pdb,uniprot_id
0,Fungi,ELECTRON MICROSCOPY,1,4.1,60,+720 e- per virion,"28,180.6 Å² × 60",156Å,200Å,208Å,312Å,400Å,416Å,3j3i,
1,Animal,X-RAY DIFFRACTION,3,3.4,180,-1260 e- per virion,"46,251.5 Å² × 60",118Å,205Å,208Å,236Å,410Å,416Å,3m8l,A7L692
2,Animal,ELECTRON MICROSCOPY,3,6.5,180,-840 e- per virion,"46,164.1 Å² × 60",119Å,216Å,219Å,238Å,432Å,438Å,3j1p,F5BXG7
3,Animal,ELECTRON MICROSCOPY,3,10.3,180,,,117Å,210Å,212Å,234Å,420Å,424Å,3zue,
4,Human,ELECTRON MICROSCOPY,1,2.8,60,-480 e- per virion,"14,134.4 Å² × 60",64Å,145Å,147Å,128Å,290Å,294Å,6ouc,
5,Mouse,ELECTRON MICROSCOPY,3,3.1,180,-720 e- per virion,"11,239.9 Å² × 60",120Å,161Å,167Å,240Å,322Å,334Å,6p4l,Q2V8W4
6,Mice,ELECTRON MICROSCOPY,3,3.5,180,-1860 e- per virion,"36,445.2 Å² × 60",116Å,206Å,207Å,232Å,412Å,414Å,6iuk,B7XA03
7,,X-RAY DIFFRACTION,3,3.4,180,-1260 e- per virion,"35,537.3 Å² × 60",121Å,199Å,200Å,242Å,398Å,400Å,1ihm,
8,Humans,X-RAY DIFFRACTION,3,3.0,180,-1080 e- per virion,"37,326.7 Å² × 60",120Å,203Å,206Å,240Å,406Å,412Å,7k6v,
9,Humans,ELECTRON MICROSCOPY,3,3.86,180,-480 e- per virion,"14,991.3 Å² × 60",122Å,165Å,171Å,244Å,330Å,342Å,7kjp,Q83884
10,Mice,ELECTRON MICROSCOPY,3,3.3,180,-2280 e- per virion,"36,518.0 Å² × 60",120Å,209Å,212Å,240Å,418Å,424Å,7n6y,Q80J94
11,Mice,ELECTRON MICROSCOPY,3,3.0,180,-480 e- per virion,"11,159.4 Å² × 60",119Å,158Å,165Å,238Å,316Å,330Å,7n7f,Q80J94
12,Mouse,ELECTRON MICROSCOPY,3,3.1,180,-3000 e- per virion,"38,135.2 Å² × 60",119Å,207Å,211Å,238Å,414Å,422Å,6p4j,
13,Mice,ELECTRON MICROSCOPY,3,3.1,180,-2700 e- per virion,"38,030.7 Å² × 60",119Å,209Å,210Å,238Å,418Å,420Å,6p4k,
14,Animal,ELECTRON MICROSCOPY,3,8.0,180,-2280 e- per virion,"45,029.9 Å² × 60",119Å,215Å,219Å,238Å,430Å,438Å,6crj,
15,Humans,ELECTRON MICROSCOPY,3,3.8,180,-1920 e- per virion,"40,712.5 Å² × 60",122Å,207Å,211Å,244Å,414Å,422Å,7mry,A9YYE4
16,Humans,ELECTRON MICROSCOPY,3,3.1,180,-1560 e- per virion,"40,530.7 Å² × 60",124Å,209Å,210Å,248Å,418Å,420Å,6otf,
17,Humans,ELECTRON MICROSCOPY,4,4.1,240,-1680 e- per virion,"66,787.2 Å² × 60",143Å,243Å,248Å,286Å,486Å,496Å,6ouu,R4I3T2
18,Humans,ELECTRON MICROSCOPY,3,2.9,180,-780 e- per virion,"40,971.6 Å² × 60",117Å,204Å,207Å,234Å,408Å,414Å,7dod,
19,Animal,ELECTRON MICROSCOPY,3,3.0,180,-1200 e- per virion,"42,024.6 Å² × 60",120Å,204Å,209Å,240Å,408Å,418Å,6gsh,
20,Animal,X-RAY DIFFRACTION,1,8.0,60,-420 e- per virion,"15,836.5 Å² × 60",63Å,145Å,147Å,126Å,290Å,294Å,4pb6,
21,Animals,ELECTRON MICROSCOPY,3,3.8,180,-240 e- per virion,"39,088.5 Å² × 60",120Å,206Å,211Å,240Å,412Å,422Å,7bjp,Q6VCZ3
